type;marque;sousMarque;reference;etat;diponibilite;chargeur
PDA;DAHL;People plus;353436079757000;utilisé;1;1
PDA;DAHL;People plus;353436079757968;utilisé;1;1
PDA;DAHL;People plus;353436079751144;utilisé;1;1
PDA;DAHL;People plus;353436079773502;utilisé;1;1
PDA;DAHL;People plus;353436079742804;utilisé;1;1
PDA;DAHL;People plus;353436079727086;utilisé;1;1
PDA;DAHL;People plus;353436079758701;utilisé;1;1
PDA;DAHL;People plus;353436079726963;utilisé;1;1
PDA;DAHL;People plus;353436079751086;utilisé;1;1
PDA;DAHL;People plus;353436079746227;utilisé;1;1
PDA;DAHL;People plus;353436079773486;utilisé;1;1
PDA;DAHL;People plus;353436079734421;utilisé;1;1
